ID,Title,First_Name,Middle_Name,Other_Name,Last_Name,Maiden_Name,Servant,Servant_type,Age,Orig_Addr,Class,Survived,Survived_text,Boarded,Dest_Addr,Lifeboat,Body,latitude,longitude
'80','Mr.','Edward','Pomeroy','','Colley','','0','','37','Dublin, Ireland','First','0','Died','Southampton','Vancouver, British Columbia, Canada','','',53.34807,-6.248274
'81','Miss','Sara','Rebecca','','Compton','','0','','39','Lakewood, New Jersey, USA','First','1','Survived','Cherbourg','Lakewood, New Jersey, USA','14','',40.079839,-74.176816
'82','Mr.','Alexander','Taylor','','Compton Jr','','0','','37','Lakewood, New Jersey, USA','First','0','Died','Cherbourg','Lakewood, New Jersey, USA','','',40.079839,-74.176816
'83','Mrs.','Mary','Eliza','','Compton','Ingersoll','0','','64','Lakewood, New Jersey, USA','First','1','Survived','Cherbourg','Lakewood, New Jersey, USA','14','',40.079839,-74.176816
'84','Mrs.','Malvina','Helen','','Cornell','Lamson','0','','55','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','2','',40.71455,-74.007124
'85','Mr.','John','Bertram','','Crafton','','0','','59','Roachdale, Indiana, USA','First','0','Died','Southampton','Roachdale, Indiana, USA','','',39.849397,-86.801624
'86','Captain','Edward','','','Crosby','','0','','70','Daly City, California, USA','First','0','Died','Southampton','Milwaukee, Wisconsin, USA','','269MB',37.691085,-122.473349
'87','Miss','Harriette','Rebecca','','Crosby','','0','','39','Milwaukee, Wisconsin, USA','First','1','Survived','Southampton','Milwaukee, Wisconsin, USA','7','',43.04181,-87.906844
'88','Mrs.','Catherine','Elizabeth','','Crosby','Halstead','0','','64','Milwaukee, Wisconsin, USA','First','1','Survived','Southampton','Milwaukee, Wisconsin, USA','7','',43.04181,-87.906844
'89','Mr.','John','Bradley','','Cumings','','0','','39','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','',40.71455,-74.007124
'90','Mrs.','Florence','Briggs','','Cumings','Thayer','0','','35','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','4','',40.71455,-74.007124
'91','Mr.','Peter','Dennis','','Daly','','0','','51','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','A','',40.71455,-74.007124
'92','Mr.','Robert','Williams','','Daniel','','0','','27','Philadelphia, Pennsylvania, USA','First','1','Survived','Southampton','Philadelphia, Pennsylvania, USA','3','',39.95228,-75.162454
